Title;Source;DOI;Year Published;WOS Number
Land use, sediment loads and dispersal pathways from two catchments at the southern end of Lake Tanganyika, Africa: implications for lake management;ENVIRONMENTAL GEOLOGY;10.1007/s00254-003-0779-0;2003;WOS:000184074700008
A model for the development of a carbonate mound population in the Rockall Trough based on deep-towed sidescan sonar data;MARINE GEOLOGY;10.1016/S0025-3227(03)00094-X;2003;WOS:000183847300004
Zebra mussels (Dreissena polymorpha) in Ireland, AFLP-fingerprinting and boat traffic both indicate an origin from Britain;FRESHWATER BIOLOGY;10.1046/j.1365-2427.2003.01063.x;2003;WOS:000182948500015
Aspects of the feeding biology of the fanworm Bispira volutacornis (Polychaeta : Sabellidae);JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S002531540300732Xh;2003;WOS:000182915100004
The importance of smolt development to salmon conservation, culture, and management: perspectives from the 6th International Workshop on Salmonid Smoltification;AQUACULTURE;10.1016/S0044-8486(03)00098-X;2003;WOS:000182487900001
An ecophysiological comparison of wild and hatchery-raised Atlantic salmon (Salmo salar L.) smolts from the Burrishoole system, western Ireland;AQUACULTURE;10.1016/S0044-8486(03)00129-7;2003;WOS:000182487900021
A study of the impact of a pipeline construction on estuarine benthic invertebrate communities. Part 2. Recolonization by benthic invertebrates after 1 year and response of estuarine birds;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/S0272-7714(02)00345-1;2003;WOS:000184500300017
VARNET-96: three-dimensional upper crustal velocity structure of SW Ireland;GEOPHYSICAL JOURNAL INTERNATIONAL;10.1046/j.1365-246X.2003.01911.x;2003;WOS:000182281200010
The spatial distributions of faults and deep sea carbonate mounds in the Porcupine Basin, offshore Ireland;MARINE AND PETROLEUM GEOLOGY;10.1016/S0264-8172(03)00079-5;2003;WOS:000185953600008
Production and respiration of epilithic algal communities in Irish lakes of different trophic status;ARCHIV FUR HYDROBIOLOGIE;10.1127/0003-9136/2003/0157-0067;2003;WOS:000183318300004
Effects of sediment particle size composition on survivorship of benthic invertebrates from Lake Tanganyika, Africa;ARCHIV FUR HYDROBIOLOGIE;10.1127/0003-9136/2003/0157-0131;2003;WOS:000183318300007
Giant carbonate mud mounds in the southern Rockall Trough;MARINE GEOLOGY;10.1016/S0025-3227(02)00680-1;2003;WOS:000181942700002
The origin of deep-water, coral-topped mounds in the northern Rockall Trough, Northeast Atlantic;MARINE GEOLOGY;10.1016/S0025-3227(02)00704-1;2003;WOS:000181467400003
Early Carboniferous chondrichthyan Thrinacodus from Ireland, and a reconstruction of jaw apparatus;ACTA PALAEONTOLOGICA POLONICA;;2003;WOS:000181994700009
Ecology of subtropical hermit crabs in SW Madagascar: short-range migrations;MARINE BIOLOGY;10.1007/s00227-002-0968-5;2003;WOS:000182387900015
Towards a greater understanding of pattern, scale and process in marine benthic systems: a picture is worth a thousand worms;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY;10.1016/S0022-0981(02)00535-X;2003;WOS:000181026600020
Short-term water quality variability in two tropical estuaries, central Sumatra;ESTUARIES;10.1007/BF02691702;2003;WOS:000181576900015
Recruitment patterns of serpulids (Annelida : Polychaeta) in Bantry Bay, Ireland;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;;2003;WOS:000181637500007
3D hydrodynamic modelling of fixed oscillating water column wave power plant by a boundary element methods;OCEAN ENGINEERING;10.1016/S0029-8018(02)00032-X;2003;WOS:000179764600002
