Title;Source;DOI;Year Published;WOS Number
Discriminating geographic origins of migratory waders at stopover sites: insights from stable isotope analysis of toenails;JOURNAL OF AVIAN BIOLOGY;10.1111/j.1600-048X.2011.05497.x;2012;WOS:000301707700012
Geochemical and mineralogical characterization of surficial sediments from the Northern Rias: Implications for sediment provenance and impact of the source rocks;MARINE GEOLOGY;10.1016/j.margeo.2011.11.003;2012;WOS:000301625600006
First report of Amyloodinium ocellatum in farmed meagre (Argyrosomus regius);BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS;;2012;WOS:000301808800005
Fish assemblages of shallow intertidal habitats of the Ria Formosa lagoon (South Portugal): influence of habitat and season;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09455;2012;WOS:000301323600018
The coastal syndromes and hotspots on the coast;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.07.012;2012;WOS:000300484500005
Migratory flows and foraging habitat selection by shorebirds along the northeastern coast of Brazil: The case of Baia de Todos os Santos;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.11.001;2012;WOS:000300484500019
Arctic Sea Ice Thickness in the Winters of 2004 and 2007 from Coincident Satellite and Submarine Measurements;International Association of Geodesy Symposia;10.1007/978-3-642-20338-1_16;2012;WOS:000300433100016
Latitudinal and bathymetric patterns in the distribution and abundance of mesopelagic fish in the Scotia Sea;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;10.1016/j.dsr2.2011.07.003;2012;WOS:000300810700016
Importance of fast ice and glacier fronts for female polar bears and their cubs during spring in Svalbard, Norway;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09516;2012;WOS:000300660600020
Incorporating information on bottlenose dolphin distribution into marine protected area design;AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS;10.1002/aqc.1243;2012;WOS:000300428000014
